epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.489,0.55918,2.98131,1.16382,0.81057,0.15513,0.1642,0.13746,0.38036,1.20257,1.0341,0.00333021,0.00333021,0.00333021
2,521.317,0.52086,1.72435,1.08788,0.61164,0.20571,0.17756,0.13301,0.91303,1.64513,1.58404,0.00659758,0.00659758,0.00659758
3,771.949,0.58544,1.57019,1.11182,0.64882,0.26465,0.2717,0.22521,0.44625,0.97371,1.07905,0.00979894,0.00979894,0.00979894
4,1021.04,0.58482,1.32352,1.11203,0.52528,0.3496,0.3367,0.28693,0.39763,0.84879,1.0515,0.009703,0.009703,0.009703
5,1270.57,0.54127,1.08066,1.08935,0.59012,0.33368,0.32886,0.27058,0.40335,0.81224,1.06186,0.009604,0.009604,0.009604
6,1519.41,0.51495,0.96601,1.07639,0.59228,0.41795,0.42262,0.36615,0.33303,0.68558,0.98917,0.009505,0.009505,0.009505
7,1768.29,0.49301,0.90536,1.06683,0.70134,0.42024,0.43635,0.38788,0.31112,0.63438,0.97884,0.009406,0.009406,0.009406
8,2016.91,0.46975,0.84575,1.05068,0.6592,0.40995,0.44082,0.38665,0.33626,0.67918,0.98949,0.009307,0.009307,0.009307
9,2265.18,0.46221,0.81501,1.04928,0.72328,0.45928,0.49017,0.44283,0.28227,0.56341,0.95565,0.009208,0.009208,0.009208
10,2513.72,0.45533,0.79241,1.04457,0.74109,0.4485,0.51996,0.46904,0.28528,0.56177,0.95503,0.009109,0.009109,0.009109
11,2762.33,0.44162,0.77086,1.04021,0.7423,0.46882,0.5057,0.45764,0.27141,0.54037,0.94466,0.00901,0.00901,0.00901
12,3011.28,0.43637,0.75461,1.03724,0.82607,0.41249,0.51184,0.46534,0.27573,0.54584,0.94293,0.008911,0.008911,0.008911
13,3259.86,0.43211,0.73782,1.03329,0.7717,0.47202,0.52658,0.48249,0.26828,0.51347,0.941,0.008812,0.008812,0.008812
14,3508.23,0.43003,0.72483,1.03286,0.78393,0.46528,0.5585,0.51253,0.27023,0.50672,0.9414,0.008713,0.008713,0.008713
15,3756.57,0.42064,0.70699,1.02848,0.84653,0.41696,0.52423,0.47637,0.26409,0.49165,0.93865,0.008614,0.008614,0.008614
16,4005.55,0.42085,0.70054,1.02583,0.82569,0.44606,0.54559,0.49932,0.25594,0.48084,0.93962,0.008515,0.008515,0.008515
17,4253.78,0.4133,0.6887,1.02282,0.73416,0.50722,0.55696,0.51248,0.25638,0.46788,0.93648,0.008416,0.008416,0.008416
18,4503.09,0.40865,0.67082,1.02137,0.71041,0.51924,0.57562,0.53212,0.24616,0.44823,0.92684,0.008317,0.008317,0.008317
19,4751.26,0.40969,0.67152,1.02376,0.8037,0.4943,0.58662,0.54225,0.25321,0.45433,0.93061,0.008218,0.008218,0.008218
20,5000.82,0.4069,0.6586,1.02101,0.79277,0.53554,0.62104,0.57555,0.24222,0.44264,0.92419,0.008119,0.008119,0.008119
21,5249.91,0.4008,0.65101,1.01718,0.73086,0.54348,0.62758,0.57938,0.24095,0.43477,0.92315,0.00802,0.00802,0.00802
22,5498.37,0.39729,0.64444,1.01476,0.74053,0.5345,0.59183,0.54173,0.23573,0.44076,0.91726,0.007921,0.007921,0.007921
23,5746.98,0.39138,0.63009,1.01314,0.87608,0.48015,0.60054,0.5571,0.23561,0.41673,0.91682,0.007822,0.007822,0.007822
24,5995.57,0.38822,0.62707,1.01213,0.81902,0.51064,0.6298,0.5855,0.23081,0.41022,0.91619,0.007723,0.007723,0.007723
25,6243.94,0.38887,0.61957,1.01295,0.76097,0.5638,0.64494,0.6017,0.22883,0.40722,0.91147,0.007624,0.007624,0.007624
26,6492.06,0.38462,0.61321,1.00712,0.77021,0.5499,0.62904,0.58477,0.22893,0.39667,0.91491,0.007525,0.007525,0.007525
